file,epoch,bucket,candidate,mae,mse,psnr,ssim,mae_improvement_vs_cloudy_pct
epoch_0001_stage1_heavy.png,1,heavy,stage1_output,0.2682284414768219,0.11352259665727615,9.449177731395327,0.06197276711463928,9.104531092546964
epoch_0001_stage1_heavy.png,1,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0001_stage1_high.png,1,high,stage1_output,0.266653448343277,0.10964380204677582,9.600160151436679,0.15641193091869354,-13.568700273500705
epoch_0001_stage1_high.png,1,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0001_stage1_medium.png,1,medium,stage1_output,0.15656627714633942,0.04839501902461052,13.151993920967467,0.5116528272628784,-22.153975148542212
epoch_0001_stage1_medium.png,1,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0002_stage1_heavy.png,2,heavy,stage1_output,0.22972886264324188,0.08546871691942215,10.681927719218026,0.07376119494438171,22.151012112793662
epoch_0002_stage1_heavy.png,2,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0002_stage1_high.png,2,high,stage1_output,0.24032369256019592,0.09169980883598328,10.376313954168936,0.1825498789548874,-2.354758877349261
epoch_0002_stage1_high.png,2,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0002_stage1_medium.png,2,medium,stage1_output,0.14358027279376984,0.04952799528837204,13.051492418416066,0.5328974723815918,-12.02221445348545
epoch_0002_stage1_medium.png,2,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0003_stage1_heavy.png,3,heavy,stage1_output,0.23367229104042053,0.08315751701593399,10.800985699028804,0.07562944293022156,20.81468934518927
