split,metric,first_epoch,last_epoch,first,last,delta,delta_pct,improvement_pct_if_lower_better,num_points,best_epoch,best
train,total,1,50,6.737669693949755,10.42926879322857,3.6915990992788146,54.79044338718134,-54.79044338718134,50,4.0,5.232428035969399
train,recon_total,1,50,6.737669693949755,5.384969794422115,-1.3526998995276402,-20.07667281081363,20.07667281081363,50,9.0,4.980935747105776
train,gan_total,1,50,0.0,5.044299011930414,5.044299011930414,,,50,1.0,0.0
train,final_l1,1,50,0.0,0.0,0.0,,,50,1.0,0.0
train,grad,1,50,0.0,0.0,0.0,,,50,1.0,0.0
train,shadow_removal,1,50,0.0,0.0,0.0,,,50,1.0,0.0
train,shadow_mask,1,50,0.0,0.0,0.0,,,50,1.0,0.0
train,shadow_penumbra,1,50,0.0,0.0,0.0,,,50,1.0,0.0
train,cloud_l1,1,50,0.0673766967239547,0.0386483694913737,-0.028728327232581,-42.63837295301404,42.63837295301404,50,49.0,0.038214799190447
train,cloud_kl,1,50,0.0,0.3800332102389146,0.3800332102389146,,,50,1.0,0.0
train,cloud_adv,1,50,0.0,0.506089331633454,0.506089331633454,,,50,1.0,0.0
train,feature_matching,1,50,0.0,0.0870235345015923,0.0870235345015923,,,50,1.0,0.0
train,perceptual,1,50,0.0,0.1237687989385849,0.1237687989385849,,,50,1.0,0.0
train,disc_total,10,50,1.3263762334435725,1.1928612059409465,-0.133515027502626,-10.066150473458864,10.066150473458864,41,20.0,1.1743824460090848
train,disc_real_loss,10,50,0.4847382470190707,0.4318603442622981,-0.05287790275677262,-10.908547671232611,10.908547671232611,41,40.0,0.4244386817154899
train,disc_fake_loss,10,50,0.7861584805931885,0.74426235144656,-0.041896129146628436,-5.329221802074323,5.329221802074323,41,21.0,0.7181780592564049
train,disc_real_gp,10,50,0.0554795036913359,0.0167385044818123,-0.0387409992095236,-69.82939037281562,69.82939037281562,41,11.0,0.0124769341741725
train,disc_real_logit,10,50,0.5569098559905994,0.7417404299846847,0.1848305739940853,33.18859811976559,,41,,
train,disc_fake_logit,10,50,0.5517228455809643,0.6352655036824923,0.08354265810152806,15.142142249621296,,41,,
val,total,1,50,5.557401275092905,6.992628563534129,1.435227288441224,25.82551119483865,-25.82551119483865,50,5.0,4.595728860660032
val,recon_total,1,50,5.557401275092905,4.911534601991827,-0.6458666731010787,-11.621739031077642,11.621739031077642,50,14.0,4.451389935883609
val,gan_total,1,50,0.0,2.0810939452864905,2.0810939452864905,,,50,1.0,0.0
val,final_l1,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,grad,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,shadow_removal,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,shadow_mask,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,shadow_penumbra,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,cloud_l1,1,50,0.0555740126662633,0.0349368080496788,-0.020637204616584498,-37.13463114588538,37.13463114588538,50,39.0,0.0328357143708589
val,cloud_kl,1,50,0.0,0.3544634468853473,0.3544634468853473,,,50,1.0,0.0
val,cloud_adv,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,feature_matching,1,50,0.0,0.0,0.0,,,50,1.0,0.0
val,perceptual,1,50,0.0,0.1387395971793342,0.1387395971793342,,,50,1.0,0.0
