epoch,split,term,raw_value,weight,weighted_contribution,share_of_recon_total,share_of_total
5,val,cloud_kl,0.3632630651647394,0.16,0.058122090426358304,0.012949225687492967,0.012646979878184304
5,val,cloud_adv,0.0,0.0,0.0,,0.0
5,val,feature_matching,0.0,0.0,0.0,0.0,0.0
5,val,perceptual,0.1787803168831901,0.6,0.10726819012991405,0.023898658718084137,0.023340843940586248
6,train,final_l1,0.0,0.0,0.0,0.0,0.0
6,train,grad,0.0,0.0,0.0,0.0,0.0
6,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
6,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
6,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
6,train,cloud_l1,0.04935496163751,100.0,4.935496163751,0.9757124586028221,0.9386910319995627
6,train,cloud_kl,0.3839216306577764,0.32,0.12285492181048845,0.024287543508101233,0.023366002021743465
6,train,cloud_adv,0.0,0.0,0.0,,0.0
6,train,feature_matching,0.0,0.0,0.0,0.0,0.0
6,train,perceptual,0.1662486656953435,1.2,0.1994983988344122,0.03943941333470989,0.03794296493623666
6,val,final_l1,0.0,0.0,0.0,0.0,0.0
6,val,grad,0.0,0.0,0.0,0.0,0.0
6,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
6,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
6,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
6,val,cloud_l1,0.0445074678017673,100.0,4.45074678017673,0.9749053761352833,0.9324454441800808
6,val,cloud_kl,0.3580149639059197,0.32,0.1145647884498943,0.02509462651819711,0.024001683387010586
6,val,cloud_adv,0.0,0.0,0.0,,0.0
6,val,feature_matching,0.0,0.0,0.0,0.0,0.0
6,val,perceptual,0.1732387678613039,1.2,0.20788652143356467,0.04553610829407766,0.04355287986288786
7,train,final_l1,0.0,0.0,0.0,0.0,0.0
7,train,grad,0.0,0.0,0.0,0.0,0.0
7,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
7,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
7,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
7,train,cloud_l1,0.0483001383072739,100.0,4.83001383072739,0.9633105535342106,0.9115707230191464
7,train,cloud_kl,0.3832498360482195,0.48,0.18395992130314534,0.03668944641343919,0.03471884022402465
7,train,cloud_adv,0.0,0.0,0.0,,0.0
7,train,feature_matching,0.0,0.0,0.0,0.0,0.0
7,train,perceptual,0.1581044828331251,1.7999999999999998,0.28458806909962514,0.056758986616049945,0.05371043665783865
7,val,final_l1,0.0,0.0,0.0,0.0,0.0
7,val,grad,0.0,0.0,0.0,0.0,0.0
7,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
7,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
7,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
7,val,cloud_l1,0.0492735272273421,100.0,4.92735272273421,0.9654596266940788,0.9117184187616252
7,val,cloud_kl,0.3672529391267083,0.48,0.17628141078082,0.03454036977306455,0.03261771952160429
7,val,cloud_adv,0.0,0.0,0.0,,0.0
7,val,feature_matching,0.0,0.0,0.0,0.0,0.0
7,val,perceptual,0.1671297404576431,1.7999999999999998,0.3008335328237575,0.05894496429228998,0.055663860147676415
8,train,final_l1,0.0,0.0,0.0,0.0,0.0
8,train,grad,0.0,0.0,0.0,0.0,0.0
8,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
8,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
8,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
8,train,cloud_l1,0.0476028562184503,100.0,4.76028562184503,0.950919495143734,0.8854115404717875
8,train,cloud_kl,0.3839001741704591,0.64,0.24569611146909381,0.04908050500264189,0.04569939491560626
8,train,cloud_adv,0.0,0.0,0.0,,0.0
8,train,feature_matching,0.0,0.0,0.0,0.0,0.0
8,train,perceptual,0.1543216474855529,2.4,0.37037195396532696,0.07398587804561206,0.0688890601024238
8,val,final_l1,0.0,0.0,0.0,0.0,0.0
8,val,grad,0.0,0.0,0.0,0.0,0.0
8,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
8,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
8,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
8,val,cloud_l1,0.0434986374298618,100.0,4.34986374298618,0.9499874777639888,0.8747686832898736
8,val,cloud_kl,0.3578134301033887,0.64,0.22900059526616875,0.05001253160036072,0.04605260326063968
8,val,cloud_adv,0.0,0.0,0.0,,0.0
8,val,feature_matching,0.0,0.0,0.0,0.0,0.0
8,val,perceptual,0.1640512823465872,2.4,0.39372307763180925,0.08598705972342591,0.0791787142197637
9,train,final_l1,0.0,0.0,0.0,0.0,0.0
9,train,grad,0.0,0.0,0.0,0.0,0.0
9,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
9,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
9,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
9,train,cloud_l1,0.0467372391521019,100.0,4.67372391521019,0.9383224664011989,0.8609590874966789
9,train,cloud_kl,0.3840147834669924,0.8,0.30721182677359393,0.06167753257048187,0.056592306016707894
9,train,cloud_adv,0.0,0.0,0.0,,0.0
9,train,feature_matching,0.0,0.0,0.0,0.0,0.0
9,train,perceptual,0.1491909952839944,3.0,0.44757298585198324,0.08985720928282404,0.08244860767946273
9,val,final_l1,0.0,0.0,0.0,0.0,0.0
9,val,grad,0.0,0.0,0.0,0.0,0.0
9,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
9,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
9,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
9,val,cloud_l1,0.0441630311648954,100.0,4.41630311648954,0.9385568932867322,0.8547481663954044
9,val,cloud_kl,0.3613944693722508,0.8,0.28911557549780065,0.06144311411208455,0.05595653231101818
9,val,cloud_adv,0.0,0.0,0.0,,0.0
9,val,feature_matching,0.0,0.0,0.0,0.0,0.0
9,val,perceptual,0.1537899983284825,3.0,0.4613699949854475,0.09805078540294132,0.08929531031763413
10,train,final_l1,0.0,0.0,0.0,0.0,0.0
