epoch,total_train,total_val,total_gap_val_minus_train,recon_total_train,recon_total_val,recon_total_gap_val_minus_train,gan_total_train,gan_total_val,gan_total_gap_val_minus_train,final_l1_train,final_l1_val,final_l1_gap_val_minus_train,grad_train,grad_val,grad_gap_val_minus_train,shadow_removal_train,shadow_removal_val,shadow_removal_gap_val_minus_train,shadow_mask_train,shadow_mask_val,shadow_mask_gap_val_minus_train,shadow_penumbra_train,shadow_penumbra_val,shadow_penumbra_gap_val_minus_train,cloud_l1_train,cloud_l1_val,cloud_l1_gap_val_minus_train,cloud_kl_train,cloud_kl_val,cloud_kl_gap_val_minus_train,cloud_adv_train,cloud_adv_val,cloud_adv_gap_val_minus_train,feature_matching_train,feature_matching_val,feature_matching_gap_val_minus_train,perceptual_train,perceptual_val,perceptual_gap_val_minus_train,disc_total_train,disc_total_val,disc_total_gap_val_minus_train,disc_real_loss_train,disc_real_loss_val,disc_real_loss_gap_val_minus_train,disc_fake_loss_train,disc_fake_loss_val,disc_fake_loss_gap_val_minus_train,disc_real_gp_train,disc_real_gp_val,disc_real_gp_gap_val_minus_train
14,6.627931991483822,5.333939053795555,-1.2939929376882677,5.119046749324974,4.451389935883609,-0.667656813441365,1.5088852352323152,0.8825490867549722,-0.626336148477343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045066317144656,0.0387458868578753,-0.006320430286780698,0.3827593869754663,0.3605007654563947,-0.022258621519071597,0.517437890673267,0.0,-0.517437890673267,0.1735329877340237,0.0,-0.1735329877340237,0.1395391965290639,0.1470915149389342,0.007552318409870279,1.1978559158628506,,,0.4450407820192681,,,0.7298362793725565,,,0.0229788503527003,,
15,6.915648113332392,5.740010299465873,-1.175637813866519,5.170812226216728,4.750362585891377,-0.4204496403253506,1.744835886751111,0.9896477247503672,-0.7551881620007437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449622393007581,0.0412082718685269,-0.003753967432231199,0.38328880919229,0.3576905842531811,-0.025598224939108905,0.5234231021972972,0.0,-0.5234231021972972,0.1781761539125934,0.0,-0.1781761539125934,0.1393406642002796,0.1499466269531033,0.010605962752823689,1.1974611790902023,,,0.4474832940539089,,,0.7260059035334747,,,0.0239719843395077,,
16,7.082828642760577,5.580041652376002,-1.5027869903845756,5.146372943114068,4.538519756360487,-0.607853186753581,1.936455673945424,1.04152190414342,-0.8949337698020039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441119868809568,0.0385250973261215,-0.0055868895548353,0.3829032606487974,0.3572968999770554,-0.025606360671742046,0.5204843499609454,0.0,-0.5204843499609454,0.1739273520360276,0.0,-0.1739273520360276,0.1379658352093777,0.1446558240039104,0.0066899887945326975,1.1964776034748883,,,0.4396377083722969,,,0.7298607845372016,,,0.0269791098473172,,
17,7.234971235286935,6.463586552576586,-0.771384682710349,5.139863524597355,5.32108753377741,0.1812240091800552,2.095107702304829,1.142499020153826,-0.9526086821510029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434273356566097,0.0455835746304894,0.002156238973879697,0.3832355578649299,0.3666971698403358,-0.01653838802459412,0.5257447228883749,0.0,-0.5257447228883749,0.1642622891785035,0.0,-0.1642622891785035,0.1363459411062961,0.1464742296798662,0.010128288573570093,1.1870380656434856,,,0.4351229462601723,,,0.7266853478159016,,,0.0252297668563293,,
18,7.494199307322138,5.7808602831580425,-1.7133390241640951,5.2074736549949066,4.567363988269459,-0.6401096667254471,2.2867256670916847,1.2134962938725948,-1.0732293732190898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043512376372785,0.0376881456891582,-0.005824230683626801,0.3822482152634075,0.3564952920106324,-0.025752923252775117,0.5305626760564448,0.0,-0.5305626760564448,0.1622531805315627,0.0,-0.1622531805315627,0.1351545696297734,0.1444638507779349,0.009309281148161486,1.185593791693358,,,0.4333250705802112,,,0.7266496983143168,,,0.0256190236062608,,
19,7.762834061905514,6.139589103785428,-1.623244958120086,5.2708725200151445,4.843795364553278,-0.4270771554618662,2.491961540796705,1.2957937449894168,-1.1961677958072883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043520198229256,0.039911031151529,-0.003609167077727002,0.3828552863831184,0.3552884164858948,-0.027566869897223567,0.5292127280515997,0.0,-0.5292127280515997,0.1612512951557288,0.0,-0.1612512951557288,0.1355038432672118,0.1439770828001201,0.008473239532908294,1.179461660735104,,,0.4289418051549054,,,0.7235638386248084,,,0.0269560163309484,,
20,7.936616228990234,6.1893916509368205,-1.7472245780534132,5.2592938230672015,4.814452480186116,-0.44484134288108557,2.677322421963426,1.3749391267245463,-1.3023832952388799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428334617024623,0.0389919149774042,-0.003841546725058098,0.3812295627247667,0.3575238453393632,-0.023705717385403502,0.5342477796548003,0.0,-0.5342477796548003,0.1583664213885362,0.0,-0.1583664213885362,0.1348663475991024,0.1432228198444301,0.008356472245327706,1.1743824460090848,,,0.4251246531166432,,,0.7217065129622772,,,0.0275512800376793,,
21,8.161303056489437,6.149219231172041,-2.0120838253173963,5.351656079656852,4.682049480351535,-0.6696065993053173,2.8096469815717926,1.4671697603030638,-1.3424772212687288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431435701781912,0.0370700438718565,-0.006073526306334696,0.381359947748505,0.358472463759509,-0.022887483988996038,0.5318691450703764,0.0,-0.5318691450703764,0.1495219461266692,0.0,-0.1495219461266692,0.1342265594762035,0.1438401752066883,0.009613615730484804,1.176839199817144,,,0.4309058079114383,,,0.7181780592564049,,,0.0277553326457408,,
22,8.276769982200879,6.229021413759752,-2.0477485684411265,5.306369618173768,4.687883019447327,-0.6184865987264416,2.9704003631157248,1.541138384829868,-1.4292619782858567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420873468679116,0.0365602556108073,-0.005527091257104301,0.3811232310460613,0.3582838140428066,-0.022839417003254647,0.5319725656910409,0.0,-0.5319725656910409,0.1453078909740079,0.0,-0.1453078909740079,0.1337029231820449,0.1426979954862459,0.00899507230420099,1.1796181633931782,,,0.4292392035781061,,,0.7217288501218918,,,0.0286501057258029,,
23,8.548028988211163,6.419753090901808,-2.128275897309355,5.416278083754607,4.825466871261597,-0.5908112124930103,3.13175091393497,1.5942862060937015,-1.5374647078412687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425512949375019,0.0373862603763965,-0.005165034561105397,0.3819567727933236,0.3575134419582106,-0.024443330835112964,0.5302920077645451,0.0,-0.5302920077645451,0.1432875731464372,0.0,-0.1432875731464372,0.1321737102662933,0.1398496727713129,0.007675962505019618,1.1811968580298466,,,0.4272484704624257,,,0.7281378100224591,,,0.0258105779073802,,
