file,kind,epoch,metric,value,size_mb,mtime
best_epoch_0014_recon_total_4.451390.pt,best,14,recon_total,4.45139,173.12489891052246,2026-07-05T16:06:19
last.pt,last,50,last,,172.93520164489746,2026-07-05T18:33:40
