epoch,split,total,recon_total,gan_total,pixel_total,perceptual_total,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,6.379978197430252,6.379978197430252,0.0,6.379978197430252,0.0,0.05316648515516647,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
1,val,4.39611447670243,4.39611447670243,0.0,4.39611447670243,0.0,0.03663428741591898,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
2,train,5.446074363653084,5.446074363653084,0.0,5.446074363653084,0.0,0.045383952905506536,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
2,val,5.241909466006539,5.241909466006539,0.0,5.241909466006539,0.0,0.0436825791627846,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
3,train,5.257779411948785,5.257779411948785,0.0,5.257779411948785,0.0,0.043814828485501105,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
3,val,5.2004418698224155,5.2004418698224155,0.0,5.2004418698224155,0.0,0.043337015392766756,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
4,train,5.108765885006033,5.108765885006033,0.0,5.108765885006033,0.0,0.04257304907209647,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
4,val,4.92140318588777,4.92140318588777,0.0,4.92140318588777,0.0,0.0410116930830885,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
5,train,4.956424369724519,4.956424369724519,0.0,4.956424369724519,0.0,0.04130353644171257,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
5,val,4.070216333324259,4.070216333324259,0.0,4.070216333324259,0.0,0.0339184694246135,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
6,train,4.960525309273956,4.960525309273956,0.0,4.960525309273956,0.0,0.04133771085935084,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
6,val,4.414645736867731,4.414645736867731,0.0,4.414645736867731,0.0,0.03678871441463178,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
7,train,4.890358566508745,4.890358566508745,0.0,4.890358566508745,0.0,0.040752988077973555,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
7,val,4.1426087807525285,4.1426087807525285,0.0,4.1426087807525285,0.0,0.03452173984524878,0.0,0.0,0.0,0.0,,,,,,,120.0,0.0,0.0,0.0,0.0
8,train,4.944841690384284,4.944841690384284,0.0,4.919908500957197,0.024933197999811682,0.040999237559052236,0.0,0.0,0.0,0.16622131317853928,,,,,,,120.0,0.0,0.0,0.0,0.15000000000000002
8,val,4.624514999714765,4.624514999714765,0.0,4.595248084176671,0.029266922269016504,0.03829373400235041,0.0,0.0,0.0,0.1951128075915304,,,,,,,120.0,0.0,0.0,0.0,0.15000000000000002
9,train,4.9041854427495135,4.9041854427495135,0.0,4.855055574247961,0.04912987548504765,0.04045879652877466,0.0,0.0,0.0,0.1637662448763665,,,,,,,120.0,0.0,0.0,0.0,0.30000000000000004
9,val,3.9438731968402863,3.9438731968402863,0.0,3.8923059674826535,0.05156722201288424,0.03243588306941092,0.0,0.0,0.0,0.17189073156226764,,,,,,,120.0,0.0,0.0,0.0,0.30000000000000004
10,train,4.971513486418885,4.971513486418885,0.0,4.897789388257064,0.07372409658967902,0.0408149114482401,0.0,0.0,0.0,0.16383133006114114,,,,,,,120.0,0.0,0.0,0.0,0.44999999999999996
10,val,5.509787835858085,5.509787835858085,0.0,5.414715420116078,0.09507244888862426,0.045122628481211985,0.0,0.0,0.0,0.21127211361784826,,,,,,,120.0,0.0,0.0,0.0,0.44999999999999996
11,train,5.0048182998593065,5.0048182998593065,0.0,4.906861534176981,0.09795678328346769,0.040890512780061374,0.0,0.0,0.0,0.16326129860287414,,,,,,,120.0,0.0,0.0,0.0,0.6000000000000001
11,val,3.9512196725065056,3.9512196725065056,0.0,3.8456581912257453,0.10556145329875025,0.032047152032398364,0.0,0.0,0.0,0.17593574849888682,,,,,,,120.0,0.0,0.0,0.0,0.6000000000000001
12,train,4.844766373663503,4.844766373663503,0.0,4.7230483913275805,0.12171797497647982,0.03935873648009351,0.0,0.0,0.0,0.16229063258805407,,,,,,,120.0,0.0,0.0,0.0,0.75
12,val,4.005289316177368,4.005289316177368,0.0,3.875999252904545,0.12929006111384791,0.03229999375021593,0.0,0.0,0.0,0.17238674854690378,,,,,,,120.0,0.0,0.0,0.0,0.75
13,train,4.8746722440836265,4.8746722440836265,0.0,4.732009246079564,0.14266299406231725,0.039433410291528664,0.0,0.0,0.0,0.15851444192800318,,,,,,,120.0,0.0,0.0,0.0,0.8999999999999999
13,val,4.122351933609355,4.122351933609355,0.0,3.9678459600968794,0.1545059705068442,0.03306538298387419,0.0,0.0,0.0,0.17167330423200672,,,,,,,120.0,0.0,0.0,0.0,0.8999999999999999
14,train,4.9745559670509545,4.9745559670509545,0.0,4.808649543593054,0.1659064196642568,0.040072079491587954,0.0,0.0,0.0,0.15800612091744712,,,,,,,120.0,0.0,0.0,0.0,1.0499999999999998
14,val,4.601183587854559,4.601183587854559,0.0,4.4178732362660496,0.1833103173835711,0.03681561033326117,0.0,0.0,0.0,0.17458126253702425,,,,,,,120.0,0.0,0.0,0.0,1.0499999999999998
15,train,4.9259892279219555,4.9259892279219555,0.0,4.73980156653518,0.186187656351368,0.03949834631089497,0.0,0.0,0.0,0.15515637406879973,,,,,,,120.0,0.0,0.0,0.0,1.2000000000000002
15,val,3.909712105989456,3.909712105989456,0.0,3.713216486302289,0.19649565465409646,0.030943470689552752,0.0,0.0,0.0,0.1637463720346039,,,,,,,120.0,0.0,0.0,0.0,1.2000000000000002
16,train,4.882796247435637,4.882796247435637,0.0,4.677188726375592,0.20560751039682906,0.0389765727245434,0.0,0.0,0.0,0.15230185682073646,,,,,,,120.0,0.0,0.0,0.0,1.35
16,val,4.29389981248162,4.29389981248162,0.0,4.06738005713983,0.22651976101439109,0.03389483357949013,0.0,0.0,0.0,0.16779241253706542,,,,,,,120.0,0.0,0.0,0.0,1.35
17,train,4.813101179373739,4.813101179373739,0.0,4.589320957842952,0.22378023433575936,0.03824434122668767,0.0,0.0,0.0,0.14918682284493695,,,,,,,120.0,0.0,0.0,0.0,1.5
17,val,3.9759132211858574,3.9759132211858574,0.0,3.7326086434451016,0.24330461482432755,0.031105071962387723,0.0,0.0,0.0,0.16220307544889775,,,,,,,120.0,0.0,0.0,0.0,1.5
18,train,5.08046052616306,5.08046052616306,0.0,4.835157418105216,0.24530310306800615,0.04029297854591856,0.0,0.0,0.0,0.1486685497270447,,,,,,,120.0,0.0,0.0,0.0,1.6500000000000001
18,val,4.180316402153536,4.180316402153536,0.0,3.909044100479646,0.271272308785807,0.03257536725141108,0.0,0.0,0.0,0.1644074616276405,,,,,,,120.0,0.0,0.0,0.0,1.6500000000000001
19,train,4.973736950016897,4.973736950016897,0.0,4.706843496827175,0.26689344170625784,0.039223695774804744,0.0,0.0,0.0,0.1482741384559086,,,,,,,120.0,0.0,0.0,0.0,1.7999999999999998
19,val,4.23156141963872,4.23156141963872,0.0,3.935279656540264,0.2962817440486767,0.03279399683445015,0.0,0.0,0.0,0.16460097297518092,,,,,,,120.0,0.0,0.0,0.0,1.7999999999999998
20,train,4.89577464882387,4.89577464882387,0.0,4.610520486802501,0.285254144089849,0.03842100395681479,0.0,0.0,0.0,0.14628417285256065,,,,,,,120.0,0.0,0.0,0.0,1.9500000000000002
20,val,4.087144090370699,4.087144090370699,0.0,3.784371852874756,0.30277222547341476,0.031536432152444664,0.0,0.0,0.0,0.15526780409907753,,,,,,,120.0,0.0,0.0,0.0,1.9500000000000002
21,train,4.850692747200665,4.850692747200665,0.0,4.544601944608426,0.30609080106566805,0.03787168284268645,0.0,0.0,0.0,0.14575753076178583,,,,,,,120.0,0.0,0.0,0.0,2.0999999999999996
21,val,4.065900426019322,4.065900426019322,0.0,3.734029718420722,0.33187069540674036,0.031116914342750202,0.0,0.0,0.0,0.15803367145020852,,,,,,,120.0,0.0,0.0,0.0,2.0999999999999996
22,train,4.911117721041408,4.911117721041408,0.0,4.590767954832188,0.32034977746483745,0.038256399615437066,0.0,0.0,0.0,0.14237767877199597,,,,,,,120.0,0.0,0.0,0.0,2.25
22,val,4.039821795441887,4.039821795441887,0.0,3.6915599649602715,0.3482618063518947,0.030762999741868538,0.0,0.0,0.0,0.15478302546861497,,,,,,,120.0,0.0,0.0,0.0,2.25
23,train,4.873596314625638,4.873596314625638,0.0,4.532855217063099,0.340741102324531,0.037773793474956206,0.0,0.0,0.0,0.14197545357344712,,,,,,,120.0,0.0,0.0,0.0,2.4000000000000004
23,val,3.986765135418285,3.986765135418285,0.0,3.6183230768550527,0.36844209784811194,0.030152692247859457,0.0,0.0,0.0,0.1535175343636762,,,,,,,120.0,0.0,0.0,0.0,2.4000000000000004
24,train,4.939635890339493,4.939635890339493,0.0,4.579406399245656,0.36022946858260246,0.03816172004953619,0.0,0.0,0.0,0.14126646129089757,,,,,,,120.0,0.0,0.0,0.0,2.55
24,val,4.114743552424691,4.114743552424691,0.0,3.7114392166787926,0.40330435589633207,0.03092866012064571,0.0,0.0,0.0,0.15815857404165648,,,,,,,120.0,0.0,0.0,0.0,2.55
25,train,4.974021328698605,4.974021328698605,0.0,4.595179652219883,0.3788416841115791,0.03829316381615692,0.0,0.0,0.0,0.14031173258062896,,,,,,,120.0,0.0,0.0,0.0,2.7
25,val,4.081115874377164,4.081115874377164,0.0,3.6622888906435533,0.418827008117329,0.03051907441113144,0.0,0.0,0.0,0.15512111207300966,,,,,,,120.0,0.0,0.0,0.0,2.7
26,train,4.964147825488986,4.964147825488986,0.0,4.5655215530220525,0.3986262821731947,0.038046013025584025,0.0,0.0,0.0,0.13986887521927874,,,,,,,120.0,0.0,0.0,0.0,2.8499999999999996
26,val,4.333608090877533,4.333608090877533,0.0,3.8872401199557562,0.44636797278442164,0.03239366774108599,0.0,0.0,0.0,0.1566203466870568,,,,,,,120.0,0.0,0.0,0.0,2.8499999999999996
27,train,4.910203233042259,4.910203233042259,0.0,4.494846780001206,0.415356450261326,0.03745705651159224,0.0,0.0,0.0,0.13845215044027076,,,,,,,120.0,0.0,0.0,0.0,3.0
27,val,4.04936897483739,4.04936897483739,0.0,3.602981521324678,0.4463874457234686,0.0300248461690816,0.0,0.0,0.0,0.1487958151847124,,,,,,,120.0,0.0,0.0,0.0,3.0
28,train,4.889148532797437,4.889148532797437,0.0,4.45172984337588,0.4374187064189065,0.03709774867657128,0.0,0.0,0.0,0.1388630772789866,,,,,,,120.0,0.0,0.0,0.0,3.1500000000000004
