epoch,split,total,recon_total,gan_total,pixel_total,perceptual_total,cloud_l1,cloud_l1_missing,cloud_l1_known,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_cloud_l1,w_cloud_l1_missing,w_cloud_l1_known,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,2.797292993292896,2.797292993292896,0.0,2.797292993292896,0.0,0.0,0.06707367486112525,0.03811533164463664,0.0,0.0,0.0,0.0,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,0.0
1,val,2.4615442619241517,2.4615442619241517,0.0,2.4615442619241517,0.0,0.0,0.05906630303622384,0.032964050556294186,0.0,0.0,0.0,0.0,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,0.0
2,train,2.5186819852492133,2.5186819852492133,0.0,2.5186819852492133,0.0,0.0,0.0605611860658119,0.03207817768472879,0.0,0.0,0.0,0.0,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,0.0
2,val,2.1792363498745293,2.1792363498745293,0.0,2.1792363498745293,0.0,0.0,0.052558713797319294,0.025629266621073274,0.0,0.0,0.0,0.0,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,0.0
3,train,2.7872195805249227,2.7872195805249227,0.0,2.4076662394431754,0.3795533452285539,0.0,0.057963975863986925,0.029702395281560365,0.0,0.0,0.0,0.25303556331481775,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,1.5
3,val,2.4895866672540534,2.4895866672540534,0.0,2.1031049207366745,0.38648174343437985,0.0,0.050733877361976897,0.02458327657310794,0.0,0.0,0.0,0.25765449553728104,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,1.5
4,train,3.0682667727135007,3.0682667727135007,0.0,2.361798476484755,0.7064682931186409,0.0,0.05699404379828557,0.02734557067599298,0.0,0.0,0.0,0.23548943127593772,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,3.0
4,val,2.914839751761535,2.914839751761535,0.0,2.182094671089074,0.7327450739926306,0.0,0.052600794355385005,0.026020967072577936,0.0,0.0,0.0,0.24424835699128694,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,3.0
5,train,3.3427273261073167,3.3427273261073167,0.0,2.3413396795772994,1.001387645436354,0.0,0.05649946347044194,0.027120374448472196,0.0,0.0,0.0,0.2225305875620893,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,4.5
5,val,3.084070690746965,3.084070690746965,0.0,2.072618123786203,1.0114525464074364,0.0,0.05008705453304895,0.023045313844391034,0.0,0.0,0.0,0.2247672319283773,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,4.5
6,train,3.6119930058808865,3.6119930058808865,0.0,2.332127010649133,1.2798659955051697,0.0,0.05634230139717995,0.026144981349878037,0.0,0.0,0.0,0.21331099915212812,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,6.0
6,val,3.3199320240267394,3.3199320240267394,0.0,2.0191003854932457,1.3008316482963234,0.0,0.048771340990085794,0.0227489143045863,0.0,0.0,0.0,0.21680527424504017,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,6.0
7,train,3.8007365629213665,3.8007365629213665,0.0,2.2596225305161344,1.5411140302179056,0.0,0.05465283198709335,0.024503081365631105,0.0,0.0,0.0,0.2054818708688841,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,7.5
7,val,3.6704720710885934,3.6704720710885934,0.0,2.053018064334475,1.6174540201137806,0.0,0.04924835412409799,0.027694635993800055,0.0,0.0,0.0,0.2156605358909944,,,,,,,0.0,40.0,3.0,0.0,0.0,0.0,7.5
8,train,4.3976854341110325,4.1032447802182,0.2944406595889946,2.274393526147994,1.8288512541157755,0.0,0.05502999561272037,0.024397897232952385,0.0,0.4241868566026746,0.19313384265430977,0.2032056946808683,1.2218276666027326,0.4112561098570488,0.7758286361574033,0.03474292113075093,0.805688122333763,0.7718097841276699,0.0,40.0,3.0,0.0,0.125,1.25,9.0
