epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
12,train,14.92298397017114,14.92298397017114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401481824463287,0.36360552514531486,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
12,val,15.258494675159454,15.258494675159454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395349669852294,0.37683326192200184,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
13,train,14.88544506889312,14.88544506889312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039658642247503186,0.3639860281973709,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
13,val,15.026282161474228,15.026282161474228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037155612430069596,0.3770240293815732,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
14,train,14.811001035902235,14.811001035902235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039488706139870634,0.3620710148487562,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
14,val,15.063719302415848,15.063719302415848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908176248660311,0.37185143399983644,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
15,train,14.821684374240201,14.821684374240201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03905898515794257,0.36385952898994883,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
15,val,15.372863173484802,15.372863173484802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040652356401551515,0.37692092172801495,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
16,train,14.778063016663854,14.778063016663854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03886902820579554,0.3630386730771006,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
16,val,15.156635105609894,15.156635105609894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03786510229110718,0.3790041580796242,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
17,train,14.71713158721296,14.71713158721296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03823265066148077,0.36312888231542373,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
17,val,15.025343269109726,15.025343269109726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691556316334754,0.3777928967028856,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
18,train,14.76904358490995,14.76904358490995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03864143340399972,0.363496675106233,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
18,val,15.051200807094574,15.051200807094574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759149293182418,0.3764017205685377,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
19,train,14.75200819478604,14.75200819478604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03880734251881087,0.36237579952051613,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
19,val,15.176125943660736,15.176125943660736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908472671173513,0.3755884440615773,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0
