epoch,split,total,recon_total,gan_total,pixel_total,perceptual_total,cloud_l1,cloud_l1_missing,cloud_l1_known,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_cloud_l1,w_cloud_l1_missing,w_cloud_l1_known,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,40.82930089209787,9.382855507211948,31.4464454490475,0.36315860342667283,9.019696915186143,0.0,0.0,0.03631586018936931,0.0,0.4481102635554217,0.2696534291092044,0.3006565635539705,1.2412997405827957,0.39948803623881907,0.805020551798176,0.03679115600123523,0.803491863009124,0.6743968912608215,0.0,0.0,10.0,0.0,10.0,100.0,30.0
1,val,11.423475471409885,11.423475471409885,0.0,0.8753044888038527,10.548171010884372,0.0,0.0,0.08753044840837405,0.0,0.0,0.0,0.35160569982095197,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
2,train,35.996443990538246,9.162391283461078,26.834052645832028,0.2746882043944085,8.88770307750877,0.0,0.0,0.027468820259157305,0.0,0.43819465422119935,0.22452106139984335,0.296256768685233,1.196119775283592,0.37786382892445325,0.7919309059961126,0.0263250410444294,0.8774071821561282,0.7032328080328962,0.0,0.0,10.0,0.0,10.0,100.0,30.0
2,val,9.199561314149337,9.199561314149337,0.0,0.2858719777908515,8.91368935324929,0.0,0.0,0.028587197652086616,0.0,0.0,0.0,0.29712297970598395,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
3,train,35.9918671820871,8.87991233849015,27.111954887343472,0.2531081809682219,8.626804184111615,0.0,0.0,0.0253108179920128,0.0,0.44093371057364555,0.22702617911388387,0.2875601399108904,1.1800171712852034,0.37307765742689825,0.7792472229638231,0.027692296057341432,0.9124047110933776,0.7405652480387906,0.0,0.0,10.0,0.0,10.0,100.0,30.0
3,val,9.85280961340124,9.85280961340124,0.0,0.3439249221489511,9.50888466835022,0.0,0.0,0.03439249201222661,0.0,0.0,0.0,0.31696282157843764,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
4,train,35.05140619540433,8.690189064095874,26.361216938823734,0.24086598016390012,8.449323081095285,0.0,0.0,0.024086597822186473,0.0,0.4391743374891602,0.21969473560195452,0.28164410294925035,1.1823766339080415,0.37849481062057916,0.776961061932625,0.02692075699300075,0.892083987456943,0.7459661943285473,0.0,0.0,10.0,0.0,10.0,100.0,30.0
4,val,9.225727948275479,9.225727948275479,0.0,0.2878379823047329,8.937889944423329,0.0,0.0,0.028783798156919973,0.0,0.0,0.0,0.2979296611791307,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
5,train,32.33528370230205,8.442553746226366,23.892729969199646,0.2375399275833815,8.205013821978088,0.0,0.0,0.023753992680407524,0.0,0.4359571815266157,0.19533158132424777,0.27350046132500383,1.1780586383029226,0.37373429199606634,0.7800750419816475,0.024249304418483414,0.9038136337146118,0.7544210999748393,0.0,0.0,10.0,0.0,10.0,100.0,30.0
5,val,8.498468377373435,8.498468377373435,0.0,0.2046994767151773,8.293768926100297,0.0,0.0,0.020469947449534877,0.0,0.0,0.0,0.2764589654451067,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
6,train,30.960348791303254,8.146828180423935,22.813520654625847,0.2189271171443415,7.927901071145994,0.0,0.0,0.021892711651918768,0.0,0.4319060879562973,0.18494459790738715,0.26426336916579385,1.1789688070615132,0.37289002077477423,0.7832772084696942,0.022801577616967147,0.907265752280524,0.7616489798468552,0.0,0.0,10.0,0.0,10.0,100.0,30.0
6,val,8.22499080137773,8.22499080137773,0.0,0.20965723936255512,8.015333598310297,0.0,0.0,0.020965723891673737,0.0,0.0,0.0,0.26717778600075026,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
7,train,28.83957510840273,7.915968585816363,20.923606531335672,0.21382260492316443,7.702145989152634,0.0,0.0,0.021382260329263793,0.0,0.43132210033020113,0.16610385541339898,0.25673819973563566,1.1822780430863757,0.37626410697213736,0.783562535904234,0.02245139829680574,0.9030108657816499,0.7564615162505287,0.0,0.0,10.0,0.0,10.0,100.0,30.0
7,val,8.16554325277155,8.16554325277155,0.0,0.2215029994152825,7.9440402442758735,0.0,0.0,0.022150299888215323,0.0,0.0,0.0,0.26480134000832384,,,,,,,0.0,0.0,10.0,0.0,10.0,100.0,30.0
