epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
10,train,5.69920240410971,5.047128891726152,0.6520735125202651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678919202781963,0.38355175745232023,0.4866754809103975,0.15043274281312932,0.14825535771815784,1.3263762334435723,0.48473824701907076,0.7861584805931885,0.055479503691335995,0.5569098559905994,0.5517228455809643,0.0,0.0,0.0,0.0,0.0,100.0,0.96,0.05,0.625,3.5999999999999996
10,val,5.285841356624257,4.721075345169414,0.5647660123014991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043771041980521244,0.35830333964391187,0.0,0.0,0.1568794525651769,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.96,0.05,0.625,3.5999999999999996
11,train,6.013030319038881,5.151787538411785,0.8612428022269444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04721952093599951,0.3837816315142022,0.4892205631514208,0.15873682807379086,0.14616660544768387,1.2420747167108985,0.4663463720670169,0.7632514087978853,0.012476934174172557,0.6447072440148858,0.6202487551837886,0.0,0.0,0.0,0.0,0.0,100.0,1.12,0.1,1.25,4.2
11,val,5.281916916370392,4.640193091197447,0.6417238370261409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042392855933444065,0.3579531247642907,0.0,0.0,0.15279139756140384,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.12,0.1,1.25,4.2
12,train,6.1183707998433245,5.052884109887873,1.065486696973124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045631114268157094,0.3826349065026741,0.5054204860411653,0.16018701114603504,0.1436089476747068,1.2112625394392451,0.4563530513088273,0.737392872845361,0.017516618003194373,0.6747992566419304,0.6240880600538458,0.0,0.0,0.0,0.0,0.0,100.0,1.28,0.15,1.875,4.8
12,val,5.7510025609623305,4.985739157958464,0.7652634251862764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04534362413158471,0.35263807428154076,0.0,0.0,0.15942987380549312,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.28,0.15,1.875,4.8
13,train,6.38925399328226,5.10013733799669,1.2891166510020557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04549176522191694,0.3826116623317065,0.5133412428405306,0.1698910993743198,0.14105937795126838,1.1981103660863475,0.4474961261865925,0.7287612064351364,0.021853034700685683,0.7031827424097499,0.6309853415788131,0.0,0.0,0.0,0.0,0.0,100.0,1.44,0.2,2.5,5.3999999999999995
13,val,5.407563458789479,4.596477974544872,0.811085486615246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040871156929907476,0.3537238020111214,0.0,0.0,0.15020101263441824,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.44,0.2,2.5,5.3999999999999995
14,train,6.627931991483822,5.119046749324974,1.5088852352323152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04506631714465604,0.3827593869754663,0.517437890673267,0.17353298773402376,0.13953919652906396,1.1978559158628506,0.4450407820192681,0.7298362793725565,0.022978850352700333,0.7004934007968378,0.6141240747149931,0.0,0.0,0.0,0.0,0.0,100.0,1.6,0.25,3.125,6.0
14,val,5.333939053795555,4.451389935883609,0.8825490867549722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03874588685787537,0.3605007654563947,0.0,0.0,0.14709151493893427,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.6,0.25,3.125,6.0
15,train,6.915648113332392,5.170812226216728,1.7448358867511107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449622393007581,0.38328880919229,0.5234231021972972,0.17817615391259348,0.13934066420027968,1.1974611790902023,0.4474832940539089,0.7260059035334747,0.023971984339507712,0.6953807421233675,0.5969257694683309,0.0,0.0,0.0,0.0,0.0,100.0,1.76,0.3,3.75,6.6
15,val,5.740010299465873,4.750362585891377,0.9896477247503671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041208271868526936,0.3576905842531811,0.0,0.0,0.14994662695310332,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.76,0.3,3.75,6.6
16,train,7.082828642760577,5.146372943114068,1.936455673945424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044111986880956806,0.3829032606487974,0.5204843499609454,0.17392735203602763,0.1379658352093777,1.1964776034748883,0.43963770837229693,0.7298607845372016,0.026979109847317207,0.7150766386533731,0.5908739815155665,0.0,0.0,0.0,0.0,0.0,100.0,1.92,0.35,4.375,7.199999999999999
16,val,5.580041652376002,4.538519756360487,1.04152190414342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03852509732612155,0.35729689997705544,0.0,0.0,0.14465582400391047,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.92,0.35,4.375,7.199999999999999
17,train,7.234971235286935,5.139863524597355,2.0951077023048286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043427335656609736,0.3832355578649299,0.5257447228883749,0.16426228917850358,0.1363459411062961,1.1870380656434856,0.4351229462601723,0.7266853478159016,0.025229766856329317,0.7408018441192965,0.6113688889264332,0.0,0.0,0.0,0.0,0.0,100.0,2.08,0.4,5.0,7.800000000000001
17,val,6.463586552576586,5.32108753377741,1.1424990201538259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045583574630489405,0.36669716984033585,0.0,0.0,0.14647422967986626,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.08,0.4,5.0,7.800000000000001
18,train,7.494199307322138,5.2074736549949066,2.2867256670916847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04351237637278502,0.3822482152634075,0.5305626760564448,0.16225318053156274,0.13515456962977346,1.1855937916933579,0.43332507058021125,0.7266496983143168,0.02561902360626089,0.7445220378332911,0.5878748165882144,0.0,0.0,0.0,0.0,0.0,100.0,2.24,0.45,5.625,8.4
18,val,5.7808602831580425,4.567363988269459,1.2134962938725948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03768814568915828,0.3564952920106324,0.0,0.0,0.1444638507779349,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.24,0.45,5.625,8.4
19,train,7.762834061905514,5.2708725200151445,2.4919615407967055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04352019822925603,0.38285528638311844,0.5292127280515997,0.1612512951557288,0.13550384326721185,1.179461660735104,0.42894180515490543,0.7235638386248084,0.026956016330948435,0.7525828355404944,0.5937532145951502,0.0,0.0,0.0,0.0,0.0,100.0,2.4,0.5,6.25,9.0
19,val,6.139589103785428,4.843795364553278,1.2957937449894168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03991103115152906,0.3552884164858948,0.0,0.0,0.14397708280012012,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.4,0.5,6.25,9.0
20,train,7.936616228990234,5.2592938230672015,2.677322421963426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04283346170246236,0.38122956272476677,0.5342477796548003,0.15836642138853624,0.13486634759910246,1.1743824460090848,0.42512465311664327,0.7217065129622772,0.027551280037679392,0.7756394251315236,0.6105852280529814,0.0,0.0,0.0,0.0,0.0,100.0,2.56,0.55,6.875000000000001,9.6
20,val,6.1893916509368205,4.814452480186116,1.3749391267245465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389919149774042,0.35752384533936327,0.0,0.0,0.14322281984443014,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.56,0.55,6.875000000000001,9.6
21,train,8.161303056489437,5.351656079656852,2.8096469815717926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314357017819123,0.381359947748505,0.5318691450703764,0.1495219461266692,0.13422655947620352,1.1768391998171441,0.4309058079114383,0.7181780592564049,0.02775533264574085,0.7555760897080833,0.5972524643491167,0.0,0.0,0.0,0.0,0.0,100.0,2.72,0.6,7.5,10.200000000000001
21,val,6.149219231172041,4.682049480351535,1.4671697603030638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03707004387185655,0.358472463759509,0.0,0.0,0.14384017520668832,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.72,0.6,7.5,10.200000000000001
22,train,8.276769982200879,5.306369618173768,2.9704003631157248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04208734686791168,0.3811232310460613,0.5319725656910409,0.14530789097400798,0.1337029231820449,1.1796181633931782,0.42923920357810613,0.7217288501218918,0.028650105725802958,0.7568049278645705,0.5980479354750855,0.0,0.0,0.0,0.0,0.0,100.0,2.88,0.65,8.125,10.799999999999999
22,val,6.229021413759752,4.687883019447327,1.5411383848298679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03656025561080738,0.3582838140428066,0.0,0.0,0.14269799548624593,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,2.88,0.65,8.125,10.799999999999999
23,train,8.548028988211163,5.416278083754607,3.13175091393497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04255129493750199,0.38195677279332363,0.5302920077645451,0.14328757314643728,0.13217371026629338,1.1811968580298466,0.42724847046242576,0.7281378100224591,0.025810577907380207,0.7676253875187777,0.6015007534158339,0.0,0.0,0.0,0.0,0.0,100.0,3.04,0.7,8.75,11.4
23,val,6.419753090901808,4.825466871261597,1.5942862060937015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0373862603763965,0.35751344195821066,0.0,0.0,0.13984967277131297,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.04,0.7,8.75,11.4
24,train,8.6205429389207,5.402666205659918,3.2178767365417715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041779033643185,0.3827383858165974,0.5268153008244453,0.1334325289382209,0.13098627581782296,1.1768611500022608,0.42715467991085226,0.7240533266410186,0.02565314314920535,0.7682116425365483,0.601849200141357,0.0,0.0,0.0,0.0,0.0,100.0,3.2,0.75,9.375,12.0
24,val,6.501970068974928,4.793730632825331,1.7082394354722716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655081720684062,0.3558277657086199,0.0,0.0,0.14235328561203045,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.2,0.75,9.375,12.0
25,train,8.93418060092751,5.524508779566587,3.409671806414193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04241222178774234,0.38193054943821114,0.5238044910383516,0.13309344901370074,0.13172172046400357,1.1901251746609305,0.42890928211744406,0.736457236771919,0.024758657347268512,0.7670606944812547,0.6003916743425054,0.0,0.0,0.0,0.0,0.0,100.0,3.36,0.8,10.0,12.6
25,val,6.580782798203555,4.758202634074471,1.822580143131993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356249885040928,0.35586423257535155,0.0,0.0,0.14464921284128318,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.36,0.8,10.0,12.6
26,train,9.034245887663023,5.505136146457917,3.5291097350076797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04159132418555951,0.38238743079729404,0.5245626598414296,0.1275949273030601,0.1308738920006001,1.1812304571863343,0.42653066708224996,0.7326207252088308,0.022079065461309815,0.7715941224623164,0.604341447353363,0.0,0.0,0.0,0.0,0.0,100.0,3.52,0.85,10.625,13.2
26,val,7.0119707421822985,5.115486014973033,1.8964847522703083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038437690077857536,0.3612832288173112,0.0,0.0,0.1436730896292085,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.52,0.85,10.625,13.2
27,train,9.20838823522632,5.5733630576994075,3.635025199035621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04168696705798764,0.38170281130057226,0.5215343488465756,0.12232421342830319,0.12967368569623805,1.183274597202966,0.42908498895459946,0.7316158959807242,0.022573713843343318,0.7637565233929806,0.6074497653940402,0.0,0.0,0.0,0.0,0.0,100.0,3.68,0.9,11.25,13.8
27,val,6.814077247272838,4.900393881581047,1.9136833880435338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03582078658721664,0.35823782499540935,0.0,0.0,0.13867270645939492,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.68,0.9,11.25,13.8
28,train,9.4724744321374,5.653038371229026,3.8194360720272824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04182574687246518,0.38293325481793933,0.5249105313684598,0.12269521488976132,0.12942815597086507,1.185020199609459,0.42582098601972657,0.7370533872088161,0.022145822788773827,0.7599524717083036,0.587137333593055,0.0,0.0,0.0,0.0,0.0,100.0,3.84,0.95,11.875,14.399999999999999
28,val,6.985676597465169,4.964829824187539,2.0208467651497233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594489882446148,0.3568593554876067,0.0,0.0,0.14033658463846554,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,3.84,0.95,11.875,14.399999999999999
29,train,9.6429300264481,5.687697069360576,3.9552329672950486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160865738030967,0.38170782807041015,0.5224302534116517,0.12048847016391404,0.1284464556575733,1.1840723415762642,0.42669295904650967,0.7352913550645204,0.0220880297358669,0.777878073559624,0.6085509827890254,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.0,12.5,15.0
29,val,7.177503867582842,5.0662055665796455,2.1112983131950553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036342194960029287,0.3579965105110949,0.0,0.0,0.14075322017412295,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.0,12.5,15.0
30,train,9.655957491755121,5.650365727392541,4.005591760352481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04127900410352406,0.3806163261242963,0.5225661244778823,0.11714662680977711,0.12795652424067896,1.1861028049699394,0.4279154416071166,0.7351619268593803,0.023025435568559745,0.7697245924753515,0.5973739610352647,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.05,13.125,15.0
30,val,7.40886492620815,5.216746628284454,2.192118340595202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03803738761185245,0.3532519767230207,0.0,0.0,0.14614122217013079,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.05,13.125,15.0
31,train,9.684195404752678,5.66491065477377,4.019284740500494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04147225334123916,0.37942132444921256,0.5140590870052303,0.11186803120333667,0.12770895383090053,1.1862137476238637,0.4264472242251084,0.7389630174053554,0.020803507495050628,0.7668028225273532,0.6133953181895733,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.1,13.750000000000002,15.0
31,val,6.923729148778048,4.875669766556133,2.048059358515523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034532950365577235,0.3555936881087043,0.0,0.0,0.1365372901359065,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.1,13.750000000000002,15.0
32,train,9.702791547921091,5.58184575961635,4.120945773722564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04057515501998798,0.38108256204048063,0.5149609951889114,0.11226321963610453,0.1276637909062412,1.1913841886257908,0.426813626918224,0.7447575456505522,0.019813013515813955,0.772054203788804,0.6135704011317422,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.15,14.374999999999998,15.0
32,val,7.066260522062128,4.967109539292076,2.0991509543223814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03553210927004164,0.3534746667878194,0.0,0.0,0.13994339785792612,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.15,14.374999999999998,15.0
33,train,9.790482846239655,5.575877621997751,4.214605235907645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040532863040992975,0.3806478247183179,0.5182540187959642,0.11274567641181137,0.1267676837058789,1.1876772829881137,0.42716996831995996,0.7413003411861735,0.019206980048231667,0.7665724036161323,0.6037221167475806,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.2,15.0,15.0
33,val,7.087146639823914,5.050597635182467,2.036549011414701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625068521465768,0.3563822795721618,0.0,0.0,0.1357699338008057,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.2,15.0,15.0
34,train,9.776710548167564,5.547921103439564,4.228789445092554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040228964604255076,0.3812561641227944,0.5138385793484679,0.10748328508621235,0.12713765914606026,1.1963778610258657,0.4310829674067483,0.7457634802076065,0.01953141085250981,0.7491108336762187,0.6006495062139352,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.25,15.625,15.0
34,val,7.032099734653126,4.916607894680717,2.115491822361946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03490916601466862,0.35642282834107225,0.0,0.0,0.14103278864852406,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.25,15.625,15.0
35,train,9.94597512866379,5.603917868494623,4.342057275115897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04083686230265584,0.38005790948320967,0.5149888980005859,0.11004241819376702,0.12562549526629463,1.186911096995759,0.42643888672922,0.7397079973592671,0.02076421424622622,0.7642704587008246,0.6026703822412257,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.3,16.25,15.0
35,val,7.316663682460785,5.120143180543726,2.1965205202048477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03701818361878395,0.35458118841052055,0.0,0.0,0.1464347013018348,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.3,16.25,15.0
36,train,9.975949070140127,5.587017003184794,4.388932085183053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04066034819964969,0.3802455456796407,0.5136432621274883,0.10680190939456224,0.1262154298113938,1.191217607861265,0.4260073032583301,0.7458601634072237,0.019350141244840777,0.7719310732609636,0.6121760731226898,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.35,16.875,15.0
36,val,7.025821387767792,5.003593601963737,2.0222277837720783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035895760911940175,0.35350437089800835,0.0,0.0,0.13481518600813366,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.35,16.875,15.0
37,train,9.880741483939168,5.481466270003479,4.399275197895295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03960988061098148,0.38011955581491513,0.5134831345682844,0.10242228444939086,0.1258672576978666,1.193423338074932,0.42844977929322364,0.7472679153859433,0.01770564747920163,0.7639399777858629,0.6079793784778782,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.4,17.5,15.0
37,val,6.997580636631358,4.956503819335591,2.04107685319402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035316497955301944,0.35621350224722514,0.0,0.0,0.1360717894170772,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.4,17.5,15.0
38,train,10.096730095166315,5.571918692428402,4.524811406018902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04044988942232883,0.3817324418722672,0.5110092452906687,0.1043923740198306,0.12611574577082188,1.1958533470783759,0.4263896355661777,0.7497259277269381,0.019737786572819594,0.7606268385681537,0.6070490996225164,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.45,18.125,15.0
38,val,6.923173037442294,4.891632573171095,2.031540454111316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034727701896124265,0.3547155934978615,0.0,0.0,0.13543602980842645,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.45,18.125,15.0
39,train,10.019002113867243,5.473217336409682,4.545784759958949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954913030273142,0.37957607852209596,0.512439113919159,0.1015779501060736,0.12483596643404495,1.1889491327312014,0.429641111090278,0.7410380137622903,0.01827000717159691,0.7541955847076685,0.6111183494147175,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.5,18.75,15.0
39,val,6.712777614593506,4.709185286001726,2.0035923326557334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03283571437085894,0.3564034683460539,0.0,0.0,0.13357282184403052,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.5,18.75,15.0
40,train,10.098883277414771,5.465993484590396,4.632889790272494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03946267466547839,0.3799315066694849,0.5113292542892859,0.1014644309026773,0.12496374204572552,1.1891659545606794,0.4244386817154899,0.7459316804139257,0.018795588391260543,0.7707055380584997,0.6114474917314833,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.55,19.375,15.0
40,val,6.853239931843498,4.847123070196672,2.006116812879389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424008838324384,0.3557785569944165,0.0,0.0,0.1337411202151667,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.55,19.375,15.0
41,train,10.18107216948763,5.485858349260569,4.695213810019537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965239691624948,0.3801546636797966,0.5113233546142549,0.10004154109717873,0.12508437435060102,1.1961829434476496,0.4297790111296038,0.748008738234867,0.01839519767247323,0.7508956574883301,0.6062882523926756,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.6,20.0,15.0
41,val,6.930671686475927,4.855011138049039,2.075660514560613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03435214238495312,0.3549492196603255,0.0,0.0,0.1383773674765094,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,4.0,1.6,20.0,15.0
